County,ncomm,new,nrep,ndem,nother,nfemale,nwhite,nafam,namin,nother_race,Year
Guilford,9,4,5,4,0,3,6,3,0,0,2012
Halifax,6,0,0,6,0,2,3,3,0,0,2012
Harnett,5,2,4,1,0,1,4,1,0,0,2012
Haywood,5,0,1,4,0,0,5,0,0,0,2012
Henderson,5,1,5,0,0,0,5,0,0,0,2012
Hertford,5,0,0,5,0,0,1,4,0,0,2012
Hoke,5,0,0,5,0,2,2,2,1,0,2012
Hyde,5,2,1,3,1,1,5,0,0,0,2012
Iredell,5,2,5,0,0,0,4,1,0,0,2012
Jackson,5,1,2,2,1,0,5,0,0,0,2012
Johnston,7,1,7,0,0,1,7,0,0,0,2012
Jones,5,0,1,4,0,1,5,0,0,0,2012
Lee,7,3,4,3,0,2,6,1,0,0,2012
Lenoir,7,1,1,5,1,2,5,2,0,0,2012
Lincoln,5,1,5,0,0,0,5,0,0,0,2012
Macon,5,1,4,1,0,0,5,0,0,0,2012
Madison,5,2,2,3,0,1,5,0,0,0,2012
Martin,5,1,0,4,1,0,4,1,0,0,2012
McDowell,5,1,5,0,0,0,5,0,0,0,2012
Mecklenburg,9,4,3,6,0,3,6,3,0,0,2012
Mitchell,5,1,4,0,1,1,5,0,0,0,2012
Montgomery,5,1,2,3,0,0,4,1,0,0,2012
Moore,5,1,5,0,0,1,5,0,0,0,2012
Nash,7,1,3,4,0,1,5,2,0,0,2012
New Hanover,5,2,4,1,0,0,4,1,0,0,2012
Northampton,5,0,0,5,0,2,1,4,0,0,2012
Onslow,5,1,5,0,0,1,5,0,0,0,2012
Orange,7,3,0,7,0,4,6,1,0,0,2012
Pamlico,7,1,2,5,0,2,6,1,0,0,2012
Pasquotank,7,1,1,6,0,0,5,2,0,0,2012
Pender,5,1,4,1,0,0,4,1,0,0,2012
Perquimans,6,2,3,3,0,3,4,2,0,0,2012
Person,5,1,1,4,0,0,3,2,0,0,2012
Pitt,9,1,3,6,0,1,7,2,0,0,2012
Polk,5,2,4,1,0,2,5,0,0,0,2012
Randolph,5,0,5,0,0,0,5,0,0,0,2012
Richmond,7,1,1,6,0,2,6,1,0,0,2012
Robeson,8,0,1,7,0,0,3,2,3,0,2012
Rockingham,5,3,4,1,0,1,4,1,0,0,2012
Rowan,5,2,5,0,0,1,5,0,0,0,2012
Rutherford,5,1,4,1,0,2,5,0,0,0,2012
Sampson,5,1,3,2,0,0,3,2,0,0,2012
Scotland,7,1,0,7,0,2,2,5,0,0,2012
Stanly,5,1,5,0,0,1,5,0,0,0,2012
Stokes,5,0,5,0,0,0,5,0,0,0,2012
Surry,5,0,5,0,0,0,5,0,0,0,2012
Swain,5,0,0,5,0,1,5,0,0,0,2012
Transylvania,5,1,5,0,0,0,5,0,0,0,2012
Tyrrell,5,3,1,4,0,0,4,1,0,0,2012
Union,5,2,5,0,0,2,5,0,0,0,2012
Vance,7,1,2,5,0,1,4,3,0,0,2012
Wake,7,1,4,3,0,2,5,2,0,0,2012
Warren,5,0,0,5,0,1,2,2,1,0,2012
Washington,5,1,0,5,0,2,3,2,0,0,2012
Watauga,5,3,3,2,0,0,5,0,0,0,2012
Wayne,7,3,5,2,0,1,5,2,0,0,2012
Wilkes,5,1,5,0,0,0,4,1,0,0,2012
Wilson,7,0,3,4,0,2,4,3,0,0,2012
Yadkin,5,0,5,0,0,0,5,0,0,0,2012
Yancey,5,3,1,4,0,1,5,0,0,0,2012
Alamance,5,3,3,2,0,1,5,0,0,0,2014
Alexander,5,3,5,0,0,1,5,0,0,0,2014
Alleghany,5,2,2,3,0,1,5,0,0,0,2014
Anson,7,0,0,7,0,2,3,4,0,0,2014
Ashe,5,2,5,0,0,0,5,0,0,0,2014
Avery,5,3,5,0,0,3,5,0,0,0,2014
Beaufort,7,2,4,3,0,0,5,2,0,0,2014
Bertie,5,3,0,3,2,0,3,2,0,0,2014
Bladen,9,1,1,8,0,1,6,3,0,0,2014
Brunswick,5,1,5,0,0,1,5,0,0,0,2014
