"COUNTY","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
103,8206,3939,4266,2679,2758,1167,1410,35,27,14,23,0,3,43,45,2718,2795,1194,1434,47,50,21,33,3,4,3792,4155,2560,2663,1158,1404,23,23,14,23,0,3,37,40,2592,2696,1180,1425,35,43,19,31,3,3,147,111,119,96,9,6,12,4,0,0,0,0,7,5,126,99,14,8,12,7,2,2,0,1
105,44501,21370,23131,16638,17581,4036,4735,275,229,175,283,31,25,216,278,16814,17808,4151,4879,384,363,214,343,45,51,17705,19952,13391,14768,3878,4597,122,108,148,258,12,6,153,214,13514,14936,3960,4707,196,213,179,310,21,28,3665,3179,3246,2813,157,138,153,121,26,25,19,19,63,64,3300,2872,191,172,188,150,35,33,24,24
107,45331,21074,24257,12703,13644,7911,10122,142,130,128,166,39,28,151,168,12820,13768,7995,10220,214,212,158,198,49,43,19689,23275,11540,12829,7829,10035,55,85,120,158,12,11,134,156,11645,12942,7901,10123,116,162,146,190,23,27,1385,982,1163,815,82,86,88,45,9,7,27,16,17,12,1175,826,94,96,99,49,12,8,27,16
109,61698,30295,31403,28048,29100,1729,1740,135,109,139,209,9,17,234,227,28250,29301,1828,1833,268,233,181,250,17,28,28399,29746,26323,27551,1651,1695,98,85,130,200,4,10,194,204,26492,27731,1728,1776,204,197,165,236,10,20,1896,1657,1725,1550,78,45,38,24,9,9,5,6,40,23,1758,1570,100,56,64,35,16,13,6,7
111,35666,17646,18020,16364,17043,901,563,108,101,144,147,8,5,121,161,16467,17187,947,621,185,203,156,167,11,9,16855,17388,15715,16507,852,533,56,61,124,138,0,0,108,149,15809,16639,889,584,127,156,135,159,2,4,791,632,649,537,49,30,52,40,19,8,8,5,13,12,657,548,58,37,59,47,20,8,9,5
113,27419,13069,14350,12536,13929,241,143,101,69,90,85,5,4,95,119,12620,14033,278,190,157,142,102,101,8,9,12389,13781,11943,13399,214,129,60,59,83,81,1,3,87,110,12021,13495,247,170,109,129,95,95,4,7,681,568,593,530,27,13,41,10,7,4,4,1,8,9,599,538,31,20,48,13,7,5,4,2
115,16895,8191,8704,7878,8449,178,68,33,32,14,46,1,4,86,105,7952,8540,211,107,86,101,23,55,8,6,8013,8545,7721,8308,175,63,27,23,13,45,1,4,76,100,7784,8396,204,99,73,90,22,55,7,6,178,159,157,141,3,4,5,8,1,0,0,0,10,4,167,145,7,8,12,10,1,0,1,0
117,18798,8649,10149,5033,5508,3482,4477,34,43,30,48,12,11,58,62,5078,5564,3515,4507,61,68,39,60,16,12,8367,9954,4800,5362,3457,4446,23,38,28,46,1,3,56,60,4844,5416,3489,4474,49,63,37,58,6,4,282,195,232,146,25,32,11,5,2,2,10,8,2,2,234,148,26,34,12,5,2,2,10,8
119,745581,352346,393235,222996,234456,101273,130152,2629,2416,20117,19687,343,288,4989,6237,226964,239293,104013,133854,4836,5257,21593,21459,574,567,311570,355402,188569,202784,97813,126518,1154,1206,19843,19441,143,175,4049,5277,191740,206814,99977,129592,2904,3597,21128,21033,307,402,40776,37833,34427,31671,3460,3634,1474,1210,274,246,200,113,940,960,35224,32479,4036,4263,1932,1659,465,425,267,166
121,12522,6070,6452,5906,6290,27,27,59,38,21,31,6,6,50,60,5948,6344,51,50,86,74,28,40,7,7,5808,6268,5702,6146,25,23,20,15,19,29,0,0,41,55,5739,6196,44,43,42,50,24,36,0,0,262,184,204,144,2,4,38,22,2,1,6,6,9,6,209,148,6,8,44,24,4,3,7,7
