GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,,,,,,,,,
0500000US37145,37145,"Person County, North Carolina",37265,*****,25941,427,10171,357,231,75,161,182,12,21,366,427,383,303,0,165,383,303,,,,,,,,,,,,,,,,,,
0500000US37147,37147,"Pitt County, North Carolina",152129,*****,93586,580,50338,579,354,141,1658,219,50,79,3448,594,2695,542,424,262,2271,474,,,,,,,,,,,,,,,,,,
0500000US37151,37151,"Randolph County, North Carolina",139641,*****,119582,1392,8267,506,427,229,1063,123,0,165,8579,1486,1723,384,309,235,1414,310,,,,,,,,,,,,,,,,,,
0500000US37153,37153,"Richmond County, North Carolina",45914,*****,28716,336,14425,212,963,100,148,192,0,165,1358,353,304,156,35,65,269,142,,,,,,,,,,,,,,,,,,
0500000US37155,37155,"Robeson County, North Carolina",127962,*****,41102,1140,30484,384,46731,850,772,87,328,340,5992,1334,2553,664,295,186,2258,650,,,,,,,,,,,,,,,,,,
0500000US37157,37157,"Rockingham County, North Carolina",92152,*****,70333,591,17655,404,147,119,447,62,58,92,2457,584,1055,317,136,105,919,307,,,,,,,,,,,,,,,,,,
0500000US37159,37159,"Rowan County, North Carolina",137148,*****,107078,1073,20974,411,417,177,1170,244,110,147,5637,1065,1762,579,105,129,1657,571,,,,,,,,,,,,,,,,,,
0500000US37161,37161,"Rutherford County, North Carolina",63087,*****,54320,369,6775,533,88,76,127,122,0,165,1092,584,685,294,59,64,626,299,,,,,,,,,,,,,,,,,,
0500000US37163,37163,"Sampson County, North Carolina",63361,*****,35811,639,17673,255,893,188,275,11,10,17,6935,768,1764,601,916,543,848,286,,,,,,,,,,,,,,,,,,
0500000US37165,37165,"Scotland County, North Carolina",36367,*****,17969,89,14076,178,3469,264,162,122,26,43,113,121,552,308,5,13,547,313,,,,,,,,,,,,,,,,,,
