County	 AmInd 	AmIndPct	 Asian 	AsianPct	 Black 	BlackPct	 Other 	OtherPct	 White 	WhitePct	 Total 
"Rockingham"	 553 	0.6	 666 	0.7	 17378 	18.9	 1965 	2.1	 71329 	77.6	 91891 
"Rowan"	 884 	0.6	 1627 	1.2	 23574 	16.7	 2433 	1.7	 112452 	79.8	 140970 
"Rutherford"	 222 	0.3	 384 	0.6	 6401 	9.5	 1476 	2.2	 59220 	87.5	 67703 
"Sampson"	 2477 	3.9	 456 	0.7	 16544 	26.1	 1353 	2.1	 42669 	67.2	 63499 
"Scotland"	 4614 	12.9	 355 	1	 13844 	38.7	 927 	2.6	 16049 	44.8	 35789 
"Stanly"	 250 	0.4	 1428 	2.3	 6846 	11.1	 853 	1.4	 52374 	84.8	 61751 
"Stokes"	 214 	0.5	 150 	0.3	 1759 	3.8	 669 	1.4	 43959 	94	 46751 
"Surry"	 496 	0.7	 450 	0.6	 2936 	4	 1049 	1.4	 67912 	93.2	 72843 
"Swain"	 3942 	26.5	 102 	0.7	 33 	0.2	 830 	5.6	 9945 	67	 14852 
"Transylvania"	 130 	0.4	 186 	0.5	 1301 	3.8	 652 	1.9	 31870 	93.4	 34139 
"Tyrrell"	 40 	1	 96 	2.3	 1547 	37.4	 69 	1.7	 2384 	57.6	 4136 
"Union"	 1636 	0.7	 5652 	2.5	 26996 	12.1	 4326 	1.9	 185305 	82.8	 223915 
"Vance"	 418 	0.9	 229 	0.5	 23178 	51.6	 689 	1.5	 20431 	45.5	 44945 
"Wake"	 10955 	1.1	 66846 	6.5	 227203 	22.1	 27388 	2.7	 694356 	67.6	 1026748 
"Warren"	 1137 	5.7	 78 	0.4	 10364 	51.5	 393 	2	 8149 	40.5	 20121 
"Washington"	 93 	0.7	 35 	0.3	 6392 	51.4	 217 	1.7	 5688 	45.8	 12425 
"Watauga"	 149 	0.3	 639 	1.2	 1053 	1.9	 924 	1.7	 52227 	95	 54992 
"Wayne"	 1141 	0.9	 1943 	1.6	 38564 	30.9	 3176 	2.5	 79984 	64.1	 124808 
"Wilkes"	 302 	0.4	 420 	0.6	 2967 	4.2	 1094 	1.6	 65244 	93.2	 70027 
"Wilson"	 495 	0.6	 959 	1.2	 32884 	40.2	 1346 	1.6	 46074 	56.4	 81758 
"Yadkin"	 286 	0.8	 160 	0.4	 1164 	3.1	 449 	1.2	 35666 	94.5	 37725 
"Yancey"	 141 	0.8	 109 	0.6	 165 	0.9	 201 	1.1	 17526 	96.6	 18142 
